Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,Saratoga,NY,Passenger,1,1,2,79,81,2.47
December 31 2022,Middlesex,MA,Passenger,2,1,3,63,66,4.55
June 30 2017,Fulton,GA,Passenger,1,0,1,115,116,0.86
November 30 2021,Arlington,VA,Passenger,1,1,2,130,132,1.52
November 30 2019,Ferry,WA,Passenger,5,2,7,4415,4422,0.16
January 31 2021,Charles,MD,Passenger,1,1,2,74,76,2.63
September 30 2021,Suffolk,VA,Passenger,1,0,1,129,130,0.77
April 30 2018,Pinal,AZ,Passenger,2,0,2,208,210,0.95
February 28 2018,Benton,WA,Passenger,175,179,354,130449,130803,0.27
September 30 2017,Cowlitz,WA,Passenger,52,64,116,70271,70387,0.16
May 31 2020,Skagit,WA,Truck,1,0,1,32390,32391,0.00
May 31 2020,Bexar,TX,Passenger,2,5,7,610,617,1.13
August 31 2023,Cowlitz,WA,Truck,10,0,10,27291,27301,0.04
August 31 2018,Prince George,VA,Passenger,0,1,1,79,80,1.25
June 30 2020,Calvert,MD,Passenger,0,2,2,91,93,2.15
October 31 2019,Chelan,WA,Passenger,191,75,266,54651,54917,0.48
March 31 2017,Salt Lake,UT,Passenger,0,1,1,308,309,0.32
April 30 2020,Lake,IL,Passenger,1,0,1,170,171,0.58
April 30 2019,Franklin,WA,Truck,0,0,0,19217,19217,0.00
April 30 2022,Allegheny,PA,Passenger,1,1,2,56,58,3.45
July 31 2019,Contra Costa,CA,Passenger,2,2,4,376,380,1.05
December 31 2019,El Paso,TX,Passenger,3,0,3,462,465,0.65
July 31 2022,Fort Bend,TX,Passenger,1,0,1,25,26,3.85
November 30 2018,Tuolumne,CA,Passenger,0,1,1,12,13,7.69
March 31 2021,Yakima,WA,Passenger,189,135,324,168223,168547,0.19
April 30 2020,Frederick,MD,Passenger,1,1,2,77,79,2.53
April 30 2018,Gwinnett,GA,Passenger,0,1,1,82,83,1.20
April 30 2021,Saginaw,MI,Passenger,2,0,2,10,12,16.67
July 31 2021,Kitsap,WA,Passenger,1910,871,2781,180615,183396,1.52
August 31 2022,Grant,WA,Passenger,198,106,304,66751,67055,0.45
October 31 2018,Chelan,WA,Truck,0,0,0,22059,22059,0.00
September 30 2022,Escambia,FL,Passenger,0,1,1,133,134,0.75
October 31 2022,Harnett,NC,Passenger,2,0,2,146,148,1.35
August 31 2020,Bartow,GA,Passenger,0,1,1,4,5,20.00
September 30 2018,Lee,AL,Passenger,1,0,1,37,38,2.63
November 30 2018,Franklin,WA,Passenger,38,64,102,58943,59045,0.17
April 30 2023,Whitman,WA,Truck,4,0,4,8581,8585,0.05
January 31 2022,Suffolk,MA,Passenger,0,2,2,26,28,7.14
September 30 2021,Wilson,NC,Passenger,1,0,1,0,1,100.00
June 30 2021,Henrico,VA,Passenger,0,1,1,14,15,6.67
June 30 2018,King,WA,Passenger,13166,5678,18844,1371113,1389957,1.36
October 31 2022,Yakima,WA,Passenger,394,214,608,166406,167014,0.36
November 30 2021,Lake,IL,Passenger,3,0,3,160,163,1.84
July 31 2017,Sedgwick,KS,Passenger,0,1,1,109,110,0.91
March 31 2017,Prince George's,MD,Passenger,0,1,1,183,184,0.54
March 31 2018,Chelan,WA,Truck,0,0,0,21721,21721,0.00
July 31 2017,Walla Walla,WA,Truck,0,0,0,13176,13176,0.00
September 30 2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56
January 31 2021,Collier,FL,Passenger,1,0,1,18,19,5.26
